"city","date","trend"
"Shanghai",2021-10-01,26.8204714907314
"Shanghai",2021-11-01,26.895197547581
"Shanghai",2021-12-01,26.9290390550852
"Guangzhou",2000-01-01,35.3995003209316
"Guangzhou",2000-02-01,35.3653550086097
"Guangzhou",2000-03-01,35.3312096962879
"Guangzhou",2000-04-01,35.2778581932165
"Guangzhou",2000-05-01,35.2245066901452
"Guangzhou",2000-06-01,35.215135928038
"Guangzhou",2000-07-01,35.2057651659309
"Guangzhou",2000-08-01,35.2497371723982
"Guangzhou",2000-09-01,35.2937091788655
"Guangzhou",2000-10-01,35.2448723412781
"Guangzhou",2000-11-01,35.1960355036907
"Guangzhou",2000-12-01,35.3103101747862
"Guangzhou",2001-01-01,35.4245848458817
"Guangzhou",2001-02-01,35.9520373720847
"Guangzhou",2001-03-01,36.4794898982877
"Guangzhou",2001-04-01,37.2966511935159
"Guangzhou",2001-05-01,38.1138124887441
"Guangzhou",2001-06-01,38.6944391541179
"Guangzhou",2001-07-01,39.2750658194917
"Guangzhou",2001-08-01,39.5394377699861
"Guangzhou",2001-09-01,39.8038097204805
"Guangzhou",2001-10-01,39.8588902246317
"Guangzhou",2001-11-01,39.9139707287829
"Guangzhou",2001-12-01,39.8542419616412
"Guangzhou",2002-01-01,39.7945131944995
"Guangzhou",2002-02-01,39.5977550197252
"Guangzhou",2002-03-01,39.400996844951
"Guangzhou",2002-04-01,38.844571281162
"Guangzhou",2002-05-01,38.288145717373
"Guangzhou",2002-06-01,37.7077528529949
"Guangzhou",2002-07-01,37.1273599886168
"Guangzhou",2002-08-01,36.8405811721994
"Guangzhou",2002-09-01,36.553802355782
"Guangzhou",2002-10-01,36.7332534053261
"Guangzhou",2002-11-01,36.9127044548703
"Guangzhou",2002-12-01,37.2816012810623
"Guangzhou",2003-01-01,37.6504981072542
"Guangzhou",2003-02-01,38.1368367970827
"Guangzhou",2003-03-01,38.6231754869112
"Guangzhou",2003-04-01,39.5032251302483
"Guangzhou",2003-05-01,40.3832747735853
"Guangzhou",2003-06-01,41.4388850658056
"Guangzhou",2003-07-01,42.494495358026
"Guangzhou",2003-08-01,43.3421694504465
"Guangzhou",2003-09-01,44.1898435428671
"Guangzhou",2003-10-01,44.7074512767344
"Guangzhou",2003-11-01,45.2250590106016
"Guangzhou",2003-12-01,45.4944032523122
"Guangzhou",2004-01-01,45.7637474940227
"Guangzhou",2004-02-01,46.1565854071363
"Guangzhou",2004-03-01,46.5494233202499
"Guangzhou",2004-04-01,47.0338436557829
"Guangzhou",2004-05-01,47.518263991316
"Guangzhou",2004-06-01,47.7826868224055
"Guangzhou",2004-07-01,48.0471096534951
"Guangzhou",2004-08-01,48.0107124802412
"Guangzhou",2004-09-01,47.9743153069874
"Guangzhou",2004-10-01,47.8016331881293
"Guangzhou",2004-11-01,47.6289510692713
"Guangzhou",2004-12-01,47.2888365791588
"Guangzhou",2005-01-01,46.9487220890464
"Guangzhou",2005-02-01,46.3025919322784
"Guangzhou",2005-03-01,45.6564617755105
"Guangzhou",2005-04-01,45.0209266266116
"Guangzhou",2005-05-01,44.3853914777127
"Guangzhou",2005-06-01,44.1506844745026
"Guangzhou",2005-07-01,43.9159774712925
"Guangzhou",2005-08-01,44.0410236064785
"Guangzhou",2005-09-01,44.1660697416645
"Guangzhou",2005-10-01,44.2693087630272
"Guangzhou",2005-11-01,44.37254778439
"Guangzhou",2005-12-01,44.3538513554709
"Guangzhou",2006-01-01,44.3351549265519
"Guangzhou",2006-02-01,44.3933127186164
"Guangzhou",2006-03-01,44.4514705106808
"Guangzhou",2006-04-01,44.85925195605
"Guangzhou",2006-05-01,45.2670334014191
"Guangzhou",2006-06-01,45.7700411202019
"Guangzhou",2006-07-01,46.2730488389847
"Guangzhou",2006-08-01,46.829722045843
"Guangzhou",2006-09-01,47.3863952527012
"Guangzhou",2006-10-01,47.9652360562389
"Guangzhou",2006-11-01,48.5440768597765
"Guangzhou",2006-12-01,48.7402085396016
"Guangzhou",2007-01-01,48.9363402194267
"Guangzhou",2007-02-01,48.6182973706279
"Guangzhou",2007-03-01,48.3002545218291
"Guangzhou",2007-04-01,48.1261190691086
"Guangzhou",2007-05-01,47.9519836163882
"Guangzhou",2007-06-01,48.2521215144339
"Guangzhou",2007-07-01,48.5522594124795
"Guangzhou",2007-08-01,49.0236289328045
"Guangzhou",2007-09-01,49.4949984531294
"Guangzhou",2007-10-01,49.8829842123437
"Guangzhou",2007-11-01,50.270969971558
"Guangzhou",2007-12-01,50.3775275566079
"Guangzhou",2008-01-01,50.4840851416579
"Guangzhou",2008-02-01,50.0315213873728
"Guangzhou",2008-03-01,49.5789576330877
"Guangzhou",2008-04-01,48.5741511421157
"Guangzhou",2008-05-01,47.5693446511436
"Guangzhou",2008-06-01,46.7283752647157
"Guangzhou",2008-07-01,45.8874058782878
"Guangzhou",2008-08-01,45.3970295917014
"Guangzhou",2008-09-01,44.906653305115
"Guangzhou",2008-10-01,44.6515455114215
"Guangzhou",2008-11-01,44.396437717728
"Guangzhou",2008-12-01,44.4039581640751
"Guangzhou",2009-01-01,44.4114786104222
"Guangzhou",2009-02-01,44.6485150388441
"Guangzhou",2009-03-01,44.885551467266
"Guangzhou",2009-04-01,45.1859360829723
"Guangzhou",2009-05-01,45.4863206986785
"Guangzhou",2009-06-01,45.4702315709881
"Guangzhou",2009-07-01,45.4541424432976
"Guangzhou",2009-08-01,45.1161520363359
